Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
PIONEER SPRINGS COMMUNITY SCHOOL,Charlotte,NC,9747,7466,5084
PITT COUNTY SCHOOLS,Greenville,NC,8863,8325,5514
POLK COUNTY SCHOOLS,Columbus,NC,12178,11490,6965
PREEMINENT CHARTER SCHOOL,Raleigh,NC,8986,8982,4453
PUBLIC SCHOOLS OF ROBESON COUNTY,Lumberton,NC,9009,8392,5230
QUALITY EDUCATION ACADEMY,Winston-Salem,NC,9052,9052,6172
QUEST ACADEMY,Raleigh,NC,6958,6000,4028
RALEIGH CHARTER HIGH SCHOOL,Raleigh,NC,7993,7993,6093
RANDOLPH COUNTY SCHOOL SYSTEM,Asheboro,NC,8405,7836,4882
REACHING ALL MINDS ACADEMY,Durham,NC,7293,6813,3122
RESEARCH TRIANGLE CHARTER,Durham,NC,8684,8683,4209
RESEARCH TRIANGLE HIGH SCHOOL,Research Triangle Pk,NC,7633,7057,4983
RICHMOND COUNTY SCHOOLS,Hamlet,NC,9213,8670,5279
RIVER MILL ACADEMY,Graham,NC,8602,6002,4185
ROANOKE RAPIDS CITY SCHOOLS,Roanoke Rapids,NC,9093,8763,5439
ROCKINGHAM COUNTY SCHOOLS,Eden,NC,8856,8562,5034
ROCKY MOUNT PREPARATORY,Rocky Mount,NC,7300,6381,3598
ROWAN-SALISBURY SCHOOLS,Salisbury,NC,8664,8200,4978
ROXBORO COMMUNITY SCHOOL,Roxboro,NC,6960,6212,4518
RUTHERFORD COUNTY SCHOOLS,Forest City,NC,9557,9263,5574
SALLIE B HOWARD SCHOOL,Wilson,NC,7576,6949,4184
SAMPSON COUNTY SCHOOLS,Clinton,NC,9037,8502,5214
SANDHILLS THEATRE ARTS RENAISS,Vass,NC,7958,6909,5363
SCOTLAND COUNTY SCHOOLS,Laurinburg,NC,10430,10151,5994
SOCRATES ACADEMY,Matthews,NC,7723,7723,4805
SOUTH BRUNSWICK CHARTER SCHOOL,Bolivia,NC,34253,7839,5402
SOUTHEASTERN ACADEMY,Lumberton,NC,6654,6188,3596
SOUTHERN WAKE ACADEMY,Holly Springs,NC,19729,7670,5546
STANLY COUNTY SCHOOLS,Albemarle,NC,8697,8306,5446
STERLING MONTESSORI ACADEMY,Morrisville,NC,7358,7336,5010
STOKES COUNTY SCHOOLS,Danbury,NC,9875,9085,5380
SUCCESS CHARTER SCHOOL,Statesville,NC,9189,9189,4558
SUGAR CREEK CHARTER,Charlotte,NC,8546,7250,4682
SUMMERFIELD CHARTER ACADEMY,Summerfield,NC,7107,7107,2920
SUMMIT CHARTER,Cashiers,NC,9619,9452,5711
SURRY COUNTY SCHOOLS,Dobson,NC,7211,6965,4508
SWAIN COUNTY SCHOOLS,Bryson City,NC,11737,10244,5890
THE ACADEMY OF MOORE COUNTY,Aberdeen,NC,7585,5899,4290
THE CAPITOL ENCORE ACADEMY,Fayetteville,NC,5698,4955,3041
THE COLLEGE PREPARATORY AND LEADERSHIP A,Jamestown,NC,9177,9167,5572
THE EXPEDITION SCHOOL,Hillsborough,NC,8215,7759,4776
The Exploris School,Raleigh,NC,8409,6596,4649
THE FRANKLIN SCHOOL OF INNOVATION,Asheville,NC,9295,6553,4138
THE HAWBRIDGE SCHOOL,Saxapahaw,NC,7527,7029,5109
THE INSTITUTE FOR THE DEVELOPMENT OF YOU,Durham,NC,6933,6933,3385
THE LEARNING CENTER,Murphy,NC,11012,8876,4917
THE MOUNTAIN COMMUNITY SCH,Hendersonville,NC,7685,7221,5475
THE NEW DIMENSIONS SCHOOL,Morganton,NC,15452,6889,4602
THOMAS JEFFERSON CLASSICAL ACADEMY,Mooresboro,NC,7187,7114,4610
THOMASVILLE CITY SCHOOLS,Thomasville,NC,10358,9779,5655
THUNDERBIRD PREPARATORY SCHOOL,Cornelius,NC,13047,12893,4730
TILLER SCHOOL,Beaufort,NC,7663,6799,5000
TORCHLIGHT ACADEMY,Raleigh,NC,8330,8187,3323
TRANSYLVANIA COUNTY SCHOOLS,Brevard,NC,11026,10310,6408
TRIAD MATH AND SCIENCE ACADEMY,Greensboro,NC,6828,6563,3531
TRIANGLE MATH AND SCIENCE ACADEMY,Cary,NC,7921,7207,3954
TWO RIVERS COMMUNITY SCHOOL,Boone,NC,8898,8398,5763
TYRRELL COUNTY SCHOOLS,Columbia,NC,14980,14581,7625
UNION ACADEMY CHARTER SCHOOL,Monroe,NC,6770,6247,3791
UNION COUNTY PUBLIC SCHOOLS,Monroe,NC,9430,8169,5075
UNITED COMMUNITY SCHOOL,Charlotte,NC,7567,7269,4291
UWHARRIE CHARTER ACADEMY,Asheboro,NC,6242,5877,3566
VANCE CHARTER SCHOOL,Henderson,NC,10476,8367,6250
VANCE COUNTY SCHOOLS,Henderson,NC,9595,9287,5679
VOYAGER ACADEMY,Durham,NC,8507,8473,5329
WAKE COUNTY SCHOOLS,Cary,NC,9803,8205,5379
WAKE FOREST CHARTER ACADEMY,Wake Forest,NC,8652,8652,3150
WARREN COUNTY SCHOOLS,Warrenton,NC,11238,10616,6160
WASHINGTON COUNTY SCHOOLS,Plymouth,NC,11658,11305,5829
WASHINGTON MONTESSORI,Washington,NC,8554,6512,5039
WATAUGA COUNTY SCHOOLS,Boone,NC,10932,9957,6364
WATER'S EDGE VILLAGE SCHOOL,Corolla,NC,9158,9158,6737
WAYNE COUNTY PUBLIC SCHOOLS,Goldsboro,NC,8410,7969,5392
WAYNE PREPARATORY,Goldsboro,NC,14497,14494,4585
WELDON CITY SCHOOLS,Weldon,NC,13763,13031,6944
WHITEVILLE CITY SCHOOLS,Whiteville,NC,10032,9524,6012
WILKES COUNTY SCHOOLS,North Wilkesboro,NC,9360,8580,5157
WILLOW OAK MONTESSORI,Chapel Hill,NC,8008,7800,4192
WILMINGTON PREPARATORY ACADEMY,Wilmington,NC,7801,7596,5176
WILSON COUNTY SCHOOLS,Wilson,NC,8813,8223,4876
WILSON PREPARATORY ACADEMY,Wilson,NC,6838,6827,3571
WOODS CHARTER SCHOOL,Chapel Hill,NC,8947,7809,5713
YADKIN COUNTY SCHOOLS,Yadkinville,NC,9021,8478,5336
YANCEY COUNTY SCHOOLS,Burnsville,NC,10416,10078,5803
Z.E.C.A. SCHOOL OF ARTS AND TECHNOLOGY,Jacksonville,NC,8427,8258,4395
ALEXANDER 2,Alexander,ND,27276,18155,7381
ANAMOOSE 14,Anamoose,ND,18028,15318,7271
APPLE CREEK 39,Bismarck,ND,6904,5304,4248
ASHLEY 9,Ashley,ND,20650,18858,10342
BAKKER 10,Hague,ND,16917,16333,3833
BARNES COUNTY NORTH 7,Wimbledon,ND,20721,13697,7253
BEACH 3,Beach,ND,23237,18763,10126
BELCOURT 7,Belcourt,ND,15529,14443,7642
BELFIELD 13,Belfield,ND,15412,13336,7468
BEULAH 27,Beulah,ND,12271,11404,6187
BILLINGS CO 1,Medora,ND,28495,24316,10453
BISMARCK 1,Bismarck,ND,16706,11770,7174
BOTTINEAU 1,Bottineau,ND,13637,12265,7555
BOWBELLS 14,Bowbells,ND,29500,20375,11611
BOWMAN CO 1,Bowman,ND,14006,13431,8454
BURKE CENTRAL 36,Lignite,ND,18147,16915,10116
CARRINGTON 49,Carrington,ND,15424,12180,7132
CAVALIER 6,Cavalier,ND,17027,11634,6598
CENTER-STANTON 1,Center,ND,18412,17370,8455
CENTRAL CASS 17,Casselton,ND,11497,10345,5612
CENTRAL ELEM 32,Amidon,ND,24182,20182,14636
CENTRAL VALLEY 3,Buxton,ND,13914,12936,6850
DAKOTA PRAIRIE 1,Petersburg,ND,19589,18182,9922
DEVILS LAKE 1,Devils Lake,ND,14266,13304,7230
DICKINSON 1,Dickinson,ND,13638,10718,6486
DIVIDE COUNTY 1,Crosby,ND,20406,13975,8019
DRAKE 57,Drake,ND,25952,22155,8512
DRAYTON 19,Drayton,ND,21534,16080,8511
DUNSEITH 1,Dunseith,ND,20384,16691,9925
EDGELEY 3,Edgeley,ND,16673,15548,8161
EDMORE 2,Edmore,ND,35672,28328,11806
EIGHT MILE 6,Trenton,ND,15379,13153,6435
ELGIN-NEW LEIPZIG 49,Elgin,ND,27534,22636,10119
ELLENDALE 40,Ellendale,ND,15736,12830,7188
EMERADO 127,Emerado,ND,14858,11591,6228
ENDERLIN AREA 24,Enderlin,ND,13474,12963,7560
FAIRMOUNT 18,Fairmount,ND,20241,17926,11778
FARGO 1,Fargo,ND,15382,12876,7921
FESSENDEN-BOWDON 25,Fessenden,ND,21088,17884,7939
FINLEY-SHARON 19,Finley,ND,26106,22885,13510
FLASHER 39,Flasher,ND,14951,13156,6364
FORDVILLE-LANKIN 5,Fordville,ND,33837,29535,14047
FT RANSOM 6,Lisbon,ND,11973,11622,7243
FT TOTTEN 30,Fort Totten,ND,18322,18006,10740
FT YATES 4,Fort Yates,ND,23566,21187,13652
GACKLE-STREETER 56,Gackle,ND,17472,16833,8907
GARRISON 51,Garrison,ND,16203,15247,7319
GLEN ULLIN 48,Glen Ullin,ND,15741,14430,7751
GLENBURN 26,Glenburn,ND,14895,12760,6845
GOODRICH 16,Goodrich,ND,32333,30833,16542
GRAFTON 3,Grafton,ND,28594,10902,6297
GRAND FORKS 1,Grand Forks,ND,15295,12721,8354
GRENORA 99,Grenora,ND,34939,18964,10321
GRIGGS COUNTY CENTRAL 18,Cooperstown,ND,16952,14410,7757
HALLIDAY 19,Halliday,ND,33304,22000,13429
HANKINSON 8,Hankinson,ND,15008,12954,7213
HARVEY 38,Harvey,ND,14387,12983,7377
HATTON EIELSON 7,Hatton,ND,18163,16651,9279
HAZELTON-MOFFIT-BRADDOCK 6,Hazelton,ND,18718,17400,9418
HAZEN 3,Hazen,ND,12422,11374,5501
HEBRON 13,Hebron,ND,17554,16130,9034
HETTINGER 13,Hettinger,ND,14398,13132,7349
HILLSBORO 9,Hillsboro,ND,13638,11145,6648
HOPE 10,Hope,ND,31446,23349,8349
HORSE CREEK 32,Cartwright,ND,44200,31000,10400
JAMESTOWN 1,Jamestown,ND,13300,12130,7430
KENMARE 28,Kenmare,ND,16606,13868,7773
KENSAL 19,Kensal,ND,22816,20000,12694
KIDDER COUNTY 1,Steele,ND,14754,14196,8564
KILLDEER 16,Killdeer,ND,25961,15583,8790
KINDRED 2,Kindred,ND,15872,10706,6163
KULM 7,Kulm,ND,24881,19156,9578
LAKOTA 66,Lakota,ND,16503,15393,7962
LAMOURE 8,LaMoure,ND,16221,14296,6456
LANGDON AREA 23,Langdon,ND,14418,13698,7385
LARIMORE 44,Larimore,ND,13892,12099,6261
LEEDS 6,Leeds,ND,18075,16197,10136
LEWIS AND CLARK 161,Berthold,ND,19115,15416,8565
LIDGERWOOD 28,Lidgerwood,ND,17756,14700,7478
LINTON 36,Linton,ND,15470,14432,7655
LISBON 19,Lisbon,ND,12259,10540,6054
LITCHVILLE-MARION 46,Marion,ND,22248,21381,9540
LITTLE HEART 4,Saint Anthony,ND,14722,12167,9222
LONE TREE 6,Golva,ND,21553,16816,7553
MADDOCK 9,Maddock,ND,18088,15959,8507
MANDAN 1,Mandan,ND,13831,11793,7161
MANDAREE 36,Mandaree,ND,41434,39396,17308
MANNING 45,Bismarck,ND,10654,7577,5231
MANVEL 125,Manvel,ND,10132,7756,4698
MAPLE VALLEY 4,Tower City,ND,20964,19148,9103
MAPLETON 7,Mapleton,ND,9043,7837,5511
MARMARTH 12,Marmarth,ND,20889,18667,12333
MAX 50,Max,ND,17708,16031,7595
MAY-PORT CG 14,Mayville,ND,13784,12184,6855
MCCLUSKY 19,McClusky,ND,21088,19338,11300
MCKENZIE CO 1,Watford City,ND,32393,11455,5965
MEDINA 3,Medina,ND,17614,15804,8294
MENOKEN 33,Menoken,ND,31691,7673,4036
MIDKOTA 7,Binford,ND,20915,19387,9408
MIDWAY 128,Inkster,ND,19965,16381,8609
MILNOR 2,Milnor,ND,15716,14533,8213
MINNEWAUKAN 5,Minnewaukan,ND,16073,14857,8967
MINOT 1,Minot,ND,13965,11751,7719
MINTO 20,Minto,ND,18205,12359,6786
MOHALL-LANSFORD-SHERWOOD 1,Mohall,ND,16526,14884,8979
MONTPELIER 14,Montpelier,ND,16155,14250,7224
MOTT-REGENT 1,Mott,ND,19198,16222,8198
MT PLEASANT 4,Rolla,ND,15297,14618,7923
MUNICH 19,Munich,ND,29155,26488,12821
NAPOLEON 2,Napoleon,ND,14245,13349,8635
NAUGHTON 25,Bismarck,ND,17300,15600,10000
NEDROSE 4,Minot,ND,20601,5916,3806
NESSON 2,Ray,ND,21814,14474,7945
NEW ENGLAND 9,New England,ND,15833,13237,7216
NEW ROCKFORD-SHEYENNE 2,New Rockford,ND,14135,12084,6348
NEW SALEM-ALMONT 49,New Salem,ND,16429,14855,8454
NEW TOWN 1,New Town,ND,18214,14000,7490
NEWBURG-UNITED 54,Newburg,ND,24917,23125,12500
NORTH BORDER 100,Walhalla,ND,19150,16679,9604
NORTH SARGENT 3,Gwinner,ND,14370,12713,7183
NORTH STAR 10,Cando,ND,12861,11693,6679
NORTHERN CASS 97,Hunter,ND,14421,11179,6234
NORTHWOOD 129,Northwood,ND,16455,14036,7091
OAKES 41,Oakes,ND,12363,10757,4737
OBERON 16,Oberon,ND,14833,13319,7806
PAGE 80,Page,ND,32035,22753,9176
PARK RIVER AREA 8,Park River,ND,15897,11039,5821
PARSHALL 3,Parshall,ND,19225,14190,8035
PINGREE-BUCHANAN 10,Pingree,ND,19124,14336,8533
POWERS LAKE 27,Powers Lake,ND,20333,16455,10703
RICHARDTON-TAYLOR 34,Richardton,ND,15007,13492,8340
RICHLAND 44,Colfax,ND,25264,13606,7412
ROLETTE 29,Rolette,ND,17444,16919,9713
ROOSEVELT 18,Carson,ND,15048,13571,5267
RUGBY 5,Rugby,ND,16453,12601,6737
SARGENT CENTRAL 6,Forman,ND,23141,19782,10829
SAWYER 16,Sawyer,ND,20491,19330,11528
SCRANTON 33,Scranton,ND,18938,18123,10569
SELFRIDGE 8,Selfridge,ND,23541,20684,11418
SOLEN 3,Solen,ND,26556,24967,14667
SOUTH HEART 9,South Heart,ND,15178,14291,7202
SOUTH PRAIRIE 70,Minot,ND,39951,9175,5491
ST JOHN 3,Saint John,ND,14724,13577,8129
ST THOMAS 43,Saint Thomas,ND,23725,19116,11043
STANLEY 2,Stanley,ND,25429,12380,7733
STARKWEATHER 44,Starkweather,ND,22121,20197,10682
STERLING 35,Sterling,ND,19333,16889,7750
STRASBURG 15,Strasburg,ND,18850,16606,8031
SURREY 41,Surrey,ND,13995,13047,7201
SWEET BRIAR 17,Mandan,ND,9588,8941,6765
TGU 60,Towner,ND,19298,17140,9956
THOMPSON 61,Thompson,ND,13890,10989,5203
TIOGA 15,Tioga,ND,30538,13106,8020
TURTLE LAKE-MERCER 72,Turtle Lake,ND,22983,16410,8532
TWIN BUTTES 37,Halliday,ND,43370,39304,13326
UNDERWOOD 8,Underwood,ND,14402,13268,6923
UNITED 7,Des Lacs,ND,13341,12225,7017
VALLEY CITY 2,Valley City,ND,11731,10579,6430
VALLEY-EDINBURG 118,Crystal,ND,19682,14336,7809
VELVA 1,Velva,ND,11857,11249,7106
WAHPETON 37,Wahpeton,ND,17120,11965,7115
WARWICK 29,Warwick,ND,18302,17278,10294
WASHBURN 4,Washburn,ND,14103,11838,6715
WEST FARGO 6,West Fargo,ND,14576,11561,6815
WESTHOPE 17,Westhope,ND,38326,17574,9610
WHITE SHIELD 85,Roseglen,ND,12324,11697,7710
WILLISTON 1,Williston,ND,14671,11361,7028
WILTON 1,Wilton,ND,13402,12071,5606
WING 28,Wing,ND,15827,15055,8945
WISHEK 19,Wishek,ND,14697,13771,7472
WOLFORD 1,Wolford,ND,25707,24610,14244
WYNDMERE 42,Wyndmere,ND,16226,14452,6475
YELLOWSTONE 14,Fairview,MT,16310,12700,7410
ZEELAND 4,Zeeland,ND,23333,23238,13310
ADAMS CENTRAL PUBLIC SCHOOLS,HASTINGS,NE,15444,12844,9170
AINSWORTH COMMUNITY SCHOOLS,AINSWORTH,NE,14885,14308,9595
ALLEN CONSOLIDATED SCHOOLS,ALLEN,NE,16269,14755,9458
ALLIANCE PUBLIC SCHOOLS,ALLIANCE,NE,10553,10091,6571
ALMA PUBLIC SCHOOLS,ALMA,NE,16767,15272,10470
AMHERST PUBLIC SCHOOLS,AMHERST,NE,11486,9511,6642
ANSELMO-MERNA PUBLIC SCHOOLS,MERNA,NE,16097,14725,8391
ANSLEY PUBLIC SCHOOLS,ANSLEY,NE,19463,17913,12975
ARAPAHOE PUBLIC SCHOOLS,ARAPAHOE,NE,13792,12671,8160
ARCADIA PUBLIC SCHOOLS,ARCADIA,NE,22185,20355,13339
ARLINGTON PUBLIC SCHOOLS,ARLINGTON,NE,13892,11581,7800
ARNOLD PUBLIC SCHOOLS,ARNOLD,NE,22007,19941,13610
ARTHUR COUNTY SCHOOLS,ARTHUR,NE,24766,20841,14252
ASHLAND-GREENWOOD PUBLIC SCHS,ASHLAND,NE,11502,10853,7094
AUBURN PUBLIC SCHOOLS,Auburn,NE,12530,12140,8296
AURORA PUBLIC SCHOOLS,AURORA,NE,12919,12181,8101
AXTELL COMMUNITY SCHOOLS,AXTELL,NE,15977,14084,9319
BANCROFT-ROSALIE COMM SCHOOLS,BANCROFT,NE,14107,13830,8849
BANNER COUNTY PUBLIC SCHOOLS,HARRISBURG,NE,20636,19444,11914
BATTLE CREEK PUBLIC SCHOOLS,BATTLE CREEK,NE,14585,13459,8807
BAYARD PUBLIC SCHOOLS,BAYARD,NE,14317,13403,8920
BEATRICE PUBLIC SCHOOLS,BEATRICE,NE,11375,10634,7132
BELLEVUE PUBLIC SCHOOLS,BELLEVUE,NE,10549,10271,6803
BENNINGTON PUBLIC SCHOOLS,BENNINGTON,NE,10905,8773,6093
BERTRAND PUBLIC SCHOOLS,BERTRAND,NE,16022,13448,9161
BLAIR COMMUNITY SCHOOLS,BLAIR,NE,10667,9854,6444
BLOOMFIELD COMMUNITY SCHOOLS,BLOOMFIELD,NE,15960,14605,9024
BLUE HILL PUBLIC SCHOOLS,Blue Hill,NE,15731,13269,8618
BOONE CENTRAL SCHOOLS,ALBION,NE,16249,14472,10262
BRADY PUBLIC SCHOOLS,BRADY,NE,17594,15144,9847
BRIDGEPORT PUBLIC SCHOOLS,BRIDGEPORT,NE,33085,16158,9523
BROKEN BOW PUBLIC SCHOOLS,BROKEN BOW,NE,14862,14233,9229
BRUNING-DAVENPORT UNIFIED SYS,DAVENPORT,NE,27069,24954,15880
BURWELL PUBLIC SCHOOLS,BURWELL,NE,14255,13202,8983
CALLAWAY PUBLIC SCHOOLS,CALLAWAY,NE,19538,16391,10756
CAMBRIDGE PUBLIC SCHOOLS,CAMBRIDGE,NE,16598,14662,9875
CEDAR BLUFFS PUBLIC SCHOOLS,CEDAR BLUFFS,NE,16314,13411,7118
CENTENNIAL PUBLIC SCHOOLS,UTICA,NE,30452,16707,10516
CENTRAL CITY PUBLIC SCHOOLS,CENTRAL CITY,NE,15301,13440,8462
CENTRAL VALLEY PUBLIC SCHOOLS,GREELEY,NE,46608,18900,11156
CENTURA PUBLIC SCHOOLS,CAIRO,NE,14548,12230,7845
CHADRON PUBLIC SCHOOLS,CHADRON,NE,13083,12647,7911
CHAMBERS PUBLIC SCHOOLS,CHAMBERS,NE,21136,20780,14568
CHASE COUNTY SCHOOLS,IMPERIAL,NE,13657,11396,7415
CLARKSON PUBLIC SCHOOLS,CLARKSON,NE,20719,18417,11094
CODY-KILGORE PUBLIC SCHS,CODY,NE,18577,17094,11107
COLUMBUS PUBLIC SCHOOLS,COLUMBUS,NE,13662,10383,6725
CONESTOGA PUBLIC SCHOOLS,MURRAY,NE,14264,13645,8695
COZAD COMMUNITY SCHOOLS,COZAD,NE,12717,11823,8320
CRAWFORD PUBLIC SCHOOLS,Eastport,NE,15165,14874,10195
CREEK VALLEY SCHOOLS,CHAPPELL,NE,20700,18824,11661
CREIGHTON COMMUNITY PUBLIC SCHOOLS,CREIGHTON,NE,14474,13604,9363
CRETE PUBLIC SCHOOLS,CRETE,NE,22891,11930,7856
CROFTON COMMUNITY SCHOOLS,CROFTON,NE,15663,15221,9779
CROSS COUNTY COMMUNITY SCHOOLS,STROMSBURG,NE,19849,13968,9281
DAVID CITY PUBLIC SCHOOLS,DAVID CITY,NE,16231,13879,9183
DESHLER PUBLIC SCHOOLS,DESHLER,NE,16569,15694,9557
DILLER-ODELL PUBLIC SCHOOLS,ODELL,NE,17665,14618,9702
DONIPHAN-TRUMBULL PUBLIC SCHS,DONIPHAN,NE,15785,12969,8039
DORCHESTER PUBLIC SCHOOL,DORCHESTER,NE,17198,15560,10440
DOUGLAS CO WEST COMMUNITY SCHS,VALLEY,NE,12819,11940,7044
DUNDY CO STRATTON PUBLIC SCHS,BENKELMAN,NE,17912,16690,10082
EAST BUTLER PUBLIC SCHOOLS,BRAINARD,NE,18316,16479,10617
ELBA PUBLIC SCHOOLS,ELBA,NE,21586,20354,12949
ELGIN PUBLIC SCHOOLS,ELGIN,NE,18375,16635,10315
ELKHORN PUBLIC SCHOOLS,ELKHORN,NE,12387,9309,6318
ELKHORN VALLEY SCHOOLS,TILDEN,NE,15006,14296,9865
ELM CREEK PUBLIC SCHOOLS,ELM CREEK,NE,13862,13155,8648
ELMWOOD-MURDOCK PUBLIC SCHOOLS,MURDOCK,NE,13188,12136,8052
ELWOOD PUBLIC SCHOOLS,ELWOOD,NE,16767,15408,10502
EMERSON-HUBBARD PUBLIC SCHOOLS,EMERSON,NE,17639,17163,11418
EUSTIS-FARNAM PUBLIC SCHOOLS,EUSTIS,NE,17854,15663,10454
EWING PUBLIC SCHOOLS,EWING,NE,20364,19372,12845
EXETER-MILLIGAN PUBLIC SCHOOLS,EXETER,NE,24101,21772,14376
FAIRBURY PUBLIC SCHOOLS,FAIRBURY,NE,13180,12364,8521
FALLS CITY PUBLIC SCHOOLS,FALLS CITY,NE,13170,12793,8395
FILLMORE CENTRAL PUBLIC SCHS,GENEVA,NE,16312,13042,8190
FORT CALHOUN COMMUNITY SCHS,FORT CALHOUN,NE,28758,10598,6549
FRANKLIN PUBLIC SCHOOLS,FRANKLIN,NE,17195,15997,10485
FREEMAN PUBLIC SCHOOLS,ADAMS,NE,13922,11987,8031
FREMONT PUBLIC SCHOOLS,FREMONT,NE,10530,9995,6500
FRIEND PUBLIC SCHOOLS,FRIEND,NE,16296,15188,10083
FULLERTON PUBLIC SCHOOLS,FULLERTON,NE,15101,13824,8706
GARDEN COUNTY SCHOOLS,OSHKOSH,NE,19907,16237,11272
GERING PUBLIC SCHOOLS,GERING,NE,10465,10146,7069
GIBBON PUBLIC SCHOOLS,GIBBON,NE,13087,11888,8072
GILTNER PUBLIC SCHOOLS,GILTNER,NE,17531,14663,10046
GORDON-RUSHVILLE PUBLIC SCHS,GORDON,NE,21679,13993,9576
GOTHENBURG PUBLIC SCHOOLS,GOTHENBURG,NE,12772,11152,7114
GRAND ISLAND PUBLIC SCHOOLS,GRAND ISLAND,NE,12832,11623,8667
GRETNA PUBLIC SCHOOLS,GRETNA,NE,9952,8760,6151
HAMPTON PUBLIC SCHOOLS,HAMPTON,NE,26684,18614,12582
HARTINGTON NEWCASTLE PUBLIC SCHOOLS,HARTINGTON,NE,20503,18571,11865
HARVARD PUBLIC SCHOOLS,HARVARD,NE,14311,13991,9618
HASTINGS PUBLIC SCHOOLS,HASTINGS,NE,12471,10404,6969
HAY SPRINGS PUBLIC SCHOOLS,HAY SPRINGS,NE,17092,15734,9376
HAYES CENTER PUBLIC SCHOOLS,HAYES CENTER,NE,26857,24305,12810
HEARTLAND COMMUNITY SCHOOLS,HENDERSON,NE,17183,14318,9378
HEMINGFORD PUBLIC SCHOOLS,HEMINGFORD,NE,17407,14767,9586
HERSHEY PUBLIC SCHOOLS,HERSHEY,NE,13268,11827,7757
HIGH PLAINS COMMUNITY SCHOOLS,POLK,NE,22377,19364,13166
HITCHCOCK CO SCH SYSTEM,TRENTON,NE,15578,12044,7204
HOLDREGE PUBLIC SCHOOLS,HOLDREGE,NE,20030,11678,8425
HOMER COMMUNITY SCHOOLS,HOMER,NE,13594,12905,8729
HOWELLS-DODGE CONSOLIDATED SCHOOLS,HOWELLS,NE,19249,16365,9988
HUMBOLDT TABLE ROCK STEINAUER,HUMBOLDT,NE,28734,17722,11114
HUMPHREY PUBLIC SCHOOLS,HUMPHREY,NE,22167,13707,9487
HYANNIS AREA SCHOOLS,HYANNIS,NE,18353,16788,10506
JOHNSON CO CENTRAL PUBLIC SCHS,TECUMSEH,NE,13971,13304,9084
JOHNSON-BROCK PUBLIC SCHOOLS,JOHNSON,NE,15201,11977,7434
KEARNEY PUBLIC SCHOOLS,KEARNEY,NE,15642,9965,6547
KENESAW PUBLIC SCHOOLS,KENESAW,NE,13728,12959,8851
KEYA PAHA COUNTY SCHOOLS,SPRINGVIEW,NE,25451,22941,14431
KIMBALL PUBLIC SCHOOLS,KIMBALL,NE,13125,12336,8229
LAKEVIEW COMMUNITY SCHOOLS,COLUMBUS,NE,14345,13671,9197
LAUREL-CONCORD-COLERIDGE SCHOOL,LAUREL,NE,17578,15829,10340
LEIGH COMMUNITY SCHOOLS,LEIGH,NE,17022,16268,9601
LEWISTON CONSOLIDATED SCHOOLS,LEWISTON,NE,25804,17771,11849
LEXINGTON PUBLIC SCHOOLS,LEXINGTON,NE,12852,11560,7664
LEYTON PUBLIC SCHOOLS,DALTON,NE,17822,15798,10103
LINCOLN PUBLIC SCHOOLS,LINCOLN,NE,12149,10548,7356
LITCHFIELD PUBLIC SCHOOLS,LITCHFIELD,NE,24084,21944,14421
LOGAN VIEW PUBLIC SCHOOLS,HOOPER,NE,14106,12293,7905
LOOMIS PUBLIC SCHOOLS,LOOMIS,NE,21267,16451,10335
LOUISVILLE PUBLIC SCHOOLS,LOUISVILLE,NE,12796,11385,7769
LOUP CITY PUBLIC SCHOOLS,LOUP CITY,NE,15579,14312,9053
LOUP COUNTY PUBLIC SCHOOLS,TAYLOR,NE,27987,25766,16130
LYNCH PUBLIC SCHOOLS,LYNCH,NE,29725,27884,19261
LYONS-DECATUR NORTHEAST SCHS,LYONS,NE,18356,16320,10142
MADISON PUBLIC SCHOOLS,MADISON,NE,14619,13515,9096
MALCOLM PUBLIC SCHOOLS,MALCOLM,NE,12079,11783,7711
MAXWELL PUBLIC SCHOOLS,MAXWELL,NE,15539,15070,10066
MAYWOOD PUBLIC SCHOOLS,MAYWOOD,NE,18924,17234,10018
MC COOK PUBLIC SCHOOLS,MC COOK,NE,11299,10853,7160
MC COOL JUNCTION PUBLIC SCHS,MCCOOL JUNCTION,NE,15900,13596,8474
MC PHERSON COUNTY SCHOOLS,TRYON,NE,27561,23134,15098
MEAD PUBLIC SCHOOLS,MEAD,NE,17526,14854,10087
MEDICINE VALLEY PUBLIC SCHOOLS,CURTIS,NE,17482,16900,11355
MERIDIAN PUBLIC SCHOOLS,SANFORD,NE,18887,14674,9593
MILFORD PUBLIC SCHOOLS,Milford,NE,11732,11052,7200
MILLARD PUBLIC SCHOOLS,OMAHA,NE,11208,9636,6063
MINATARE PUBLIC SCHOOLS,MINATARE,NE,14424,13848,9027
MINDEN PUBLIC SCHOOLS,MINDEN,NE,14876,12966,8923
MITCHELL PUBLIC SCHOOLS,MITCHELL,NE,11218,10715,7501
MORRILL PUBLIC SCHOOLS,MORRILL,NE,16566,15382,9730
MULLEN PUBLIC SCHOOLS,MULLEN,NE,18747,17017,11305
NEBRASKA CITY PUBLIC SCHOOLS,NEBRASKA CITY,NE,12518,11489,8099
NEBRASKA UNIFIED DISTRICT 1,ORCHARD,NE,18505,16656,11032
NELIGH-OAKDALE SCHOOLS,NELIGH,NE,14521,13970,9824
