Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
FREMONT-MILLS COMM SCHOOL DISTRICT,Tabor,IA,10466,8822,5441
GALVA-HOLSTEIN COMM SCHOOL DISTRICT,Holstein,IA,16389,11458,7715
GARNER-HAYFIELD-VENTURA COMM SCHOOL DISTRICT,Garner,IA,13478,12242,8027
GEORGE-LITTLE ROCK COMM SCHOOL DISTRICT,George,IA,11328,9937,5939
GILBERT COMM SCHOOL DISTRICT,Gilbert,IA,12008,10012,6281
GILMORE CITY-BRADGATE COMM SCHOOL DISTRICT,Gilmore City,IA,14950,8150,4450
GLADBROOK-REINBECK COMM SCHOOL DISTRICT,Reinbeck,IA,11842,9871,5966
GLENWOOD COMM SCHOOL DISTRICT,Glenwood,IA,13041,10219,6507
GLIDDEN-RALSTON COMM SCHOOL DISTRICT,Glidden,IA,14421,12162,7454
GMG COMM SCHOOL DISTRICT,Garwin,IA,16381,14884,9578
GRAETTINGER-TERRIL COMM SCHOOL DISTRICT,Graettinger,IA,12857,9777,6257
GREENE COUNTY COMM SCHOOL DISTRICT,Jefferson,IA,12247,11037,7124
GRINNELL-NEWBURG COMM SCHOOL DISTRICT,Grinnell,IA,11578,10053,6312
GRISWOLD COMM SCHOOL DISTRICT,Griswold,IA,12299,10404,6418
GRUNDY CENTER COMM SCHOOL DISTRICT,Grundy Center,IA,13114,11198,7203
GUTHRIE CENTER COMM SCHOOL DISTRICT,Guthrie Center,IA,12117,10770,6893
H-L-V COMM SCHOOL DISTRICT,Victor,IA,12697,11527,7045
HAMBURG COMM SCHOOL DISTRICT,Hamburg,IA,12199,9880,6367
HAMPTON-DUMONT COMM SCHOOL DISTRICT,Hampton,IA,12629,10585,7181
HARLAN COMM SCHOOL DISTRICT,Harlan,IA,13731,11474,7597
HARMONY COMM SCHOOL DISTRICT,Farmington,IA,12945,10058,6190
HARRIS-LAKE PARK COMM SCHOOL DISTRICT,Lake Park,IA,18071,9529,5512
HARTLEY-MELVIN-SANBORN COMM SCHOOL DISTRICT,Hartley,IA,11641,10785,7403
HIGHLAND COMM SCHOOL DISTRICT,Riverside,IA,13035,10880,6673
HINTON COMM SCHOOL DISTRICT,Hinton,IA,14236,12870,8682
HOWARD-WINNESHIEK COMM SCHOOL DISTRICT,Cresco,IA,12716,10769,6505
HUBBARD-RADCLIFFE COMM SCHOOL DISTRICT,Hubbard,IA,25200,11169,7441
HUDSON COMM SCHOOL DISTRICT,Hudson,IA,13014,11173,7394
HUMBOLDT COMM SCHOOL DISTRICT,Dakota City,IA,12275,11042,7375
IKM-MANNING COMM SCHOOL DISTRICT,Manning,IA,11312,9727,5945
INDEPENDENCE COMM SCHOOL DISTRICT,Independence,IA,13513,10660,7143
INDIANOLA COMM SCHOOL DISTRICT,Indianola,IA,15758,9605,6288
INTERSTATE 35 COMM SCHOOL DISTRICT,Truro,IA,10960,8848,5360
