Metro Area,Unemployment Rate,Rank
"Columbus, GA-AL Metropolitan Statistical Area",3.9,259
"El Paso, TX Metropolitan Statistical Area",3.9,259
"Goldsboro, NC Metropolitan Statistical Area",3.9,259
"Hot Springs, AR Metropolitan Statistical Area",3.9,259
"Lima, OH Metropolitan Statistical Area",3.9,259
"Macon-Bibb County, GA Metropolitan Statistical Area",3.9,259
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",3.9,259
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",3.9,259
"Saginaw, MI Metropolitan Statistical Area",3.9,259
"Santa Fe, NM Metropolitan Statistical Area",3.9,259
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",3.9,259
"Waterbury, CT Metropolitan NECTA",3.9,259
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",4,274
"Baton Rouge, LA Metropolitan Statistical Area",4,274
"Bloomington, IL Metropolitan Statistical Area",4,274
"Dayton, OH Metropolitan Statistical Area",4,274
"Grand Junction, CO Metropolitan Statistical Area",4,274
"Mobile, AL Metropolitan Statistical Area",4,274
"New Bern, NC Metropolitan Statistical Area",4,274
"Akron, OH Metropolitan Statistical Area",4.1,281
"Bend-Redmond, OR Metropolitan Statistical Area",4.1,281
"Carson City, NV Metropolitan Statistical Area",4.1,281
"Erie, PA Metropolitan Statistical Area",4.1,281
"Flint, MI Metropolitan Statistical Area",4.1,281
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",4.1,281
"Springfield, OH Metropolitan Statistical Area",4.1,281
"Casper, WY Metropolitan Statistical Area",4.2,288
"Champaign-Urbana, IL Metropolitan Statistical Area",4.2,288
"Dalton, GA Metropolitan Statistical Area",4.2,288
"Jacksonville, NC Metropolitan Statistical Area",4.2,288
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",4.2,288
"Muncie, IN Metropolitan Statistical Area",4.2,288
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",4.2,288
"New Orleans-Metairie, LA Metropolitan Statistical Area",4.2,288
"Salem, OR Metropolitan Statistical Area",4.2,288
"Springfield, IL Metropolitan Statistical Area",4.2,288
"Tucson, AZ Metropolitan Statistical Area",4.2,288
"Albany, GA Metropolitan Statistical Area",4.3,299
"Albuquerque, NM Metropolitan Statistical Area",4.3,299
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",4.3,299
"Chico, CA Metropolitan Statistical Area",4.3,299
"Corpus Christi, TX Metropolitan Statistical Area",4.3,299
"Eugene, OR Metropolitan Statistical Area",4.3,299
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",4.3,299
"Prescott, AZ Metropolitan Statistical Area",4.3,299
"Sebring, FL Metropolitan Statistical Area",4.3,299
"Walla Walla, WA Metropolitan Statistical Area",4.3,299
"Williamsport, PA Metropolitan Statistical Area",4.3,299
"Canton-Massillon, OH Metropolitan Statistical Area",4.4,310
"Cleveland-Elyria, OH Metropolitan Statistical Area",4.4,310
"Johnstown, PA Metropolitan Statistical Area",4.4,310
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",4.4,310
"Redding, CA Metropolitan Statistical Area",4.4,310
"Warner Robins, GA Metropolitan Statistical Area",4.4,310
"Wheeling, WV-OH Metropolitan Statistical Area",4.4,310
"Bremerton-Silverdale, WA Metropolitan Statistical Area",4.5,317
"Homosassa Springs, FL Metropolitan Statistical Area",4.5,317
"Lafayette, LA Metropolitan Statistical Area",4.5,317
"Mansfield, OH Metropolitan Statistical Area",4.5,317
"Medford, OR Metropolitan Statistical Area",4.5,317
"Michigan City-La Porte, IN Metropolitan Statistical Area",4.5,317
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",4.5,317
"Albany, OR Metropolitan Statistical Area",4.6,324
"Bellingham, WA Metropolitan Statistical Area",4.6,324
"Carbondale-Marion, IL Metropolitan Statistical Area",4.6,324
"Fayetteville, NC Metropolitan Statistical Area",4.6,324
"Houma-Thibodaux, LA Metropolitan Statistical Area",4.6,324
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",4.6,324
"Olympia-Tumwater, WA Metropolitan Statistical Area",4.6,324
"Salisbury, MD-DE Metropolitan Statistical Area",4.6,324
"Terre Haute, IN Metropolitan Statistical Area",4.6,324
"The Villages, FL Metropolitan Statistical Area",4.6,324
"Toledo, OH Metropolitan Statistical Area",4.6,324
"Charleston, WV Metropolitan Statistical Area",4.7,335
"Cumberland, MD-WV Metropolitan Statistical Area",4.7,335
"Texarkana, TX-AR Metropolitan Statistical Area",4.7,335
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",4.7,335
"Watertown-Fort Drum, NY Metropolitan Statistical Area",4.7,335
"Kankakee, IL Metropolitan Statistical Area",4.8,340
"Peoria, IL Metropolitan Statistical Area",4.8,340
"Pine Bluff, AR Metropolitan Statistical Area",4.8,340
"Rocky Mount, NC Metropolitan Statistical Area",4.8,340
"East Stroudsburg, PA Metropolitan Statistical Area",4.9,344
"Farmington, NM Metropolitan Statistical Area",4.9,344
"Flagstaff, AZ Metropolitan Statistical Area",4.9,344
"Hammond, LA Metropolitan Statistical Area",4.9,344
"Parkersburg-Vienna, WV Metropolitan Statistical Area",4.9,344
"Salinas, CA Metropolitan Statistical Area",4.9,344
"Shreveport-Bossier City, LA Metropolitan Statistical Area",4.9,344
"Wenatchee, WA Metropolitan Statistical Area",4.9,344
"Alexandria, LA Metropolitan Statistical Area",5,352
"Monroe, LA Metropolitan Statistical Area",5,352
"Pueblo, CO Metropolitan Statistical Area",5,352
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",5.1,355
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",5.1,355
"Kennewick-Richland, WA Metropolitan Statistical Area",5.2,357
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",5.3,358
"Beckley, WV Metropolitan Statistical Area",5.3,358
"Brownsville-Harlingen, TX Metropolitan Statistical Area",5.3,358
"Las Cruces, NM Metropolitan Statistical Area",5.3,358
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",5.3,358
"Grants Pass, OR Metropolitan Statistical Area",5.4,363
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",5.4,363
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",5.4,363
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",5.4,363
"Anchorage, AK Metropolitan Statistical Area",5.5,367
"Danville, IL Metropolitan Statistical Area",5.5,367
"Decatur, IL Metropolitan Statistical Area",5.5,367
"Fairbanks, AK Metropolitan Statistical Area",5.5,367
"Stockton-Lodi, CA Metropolitan Statistical Area",5.5,367
"Longview, WA Metropolitan Statistical Area",5.6,372
"Modesto, CA Metropolitan Statistical Area",5.7,373
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",5.8,374
"Madera, CA Metropolitan Statistical Area",6.2,375
"Panama City, FL Metropolitan Statistical Area",6.2,375
"Yakima, WA Metropolitan Statistical Area",6.4,377
"Yuba City, CA Metropolitan Statistical Area",6.4,377
"Bakersfield, CA Metropolitan Statistical Area",6.6,379
"Merced, CA Metropolitan Statistical Area",6.7,380
"Fresno, CA Metropolitan Statistical Area",6.9,381
"Hanford-Corcoran, CA Metropolitan Statistical Area",7,382
"Ocean City, NJ Metropolitan Statistical Area",7.7,383
"Kokomo, IN Metropolitan Statistical Area",8.3,384
"Visalia-Porterville, CA Metropolitan Statistical Area",8.6,385
"Rockford, IL Metropolitan Statistical Area",9.3,386
"Yuma, AZ Metropolitan Statistical Area",14.9,387
"El Centro, CA Metropolitan Statistical Area",18.1,388
